City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
141,puerto ayora,-0.7393,-90.3518,79.56,90,66,8.01,EC,1684625767
142,qaqortoq,60.7167,-46.0333,32.0,76,100,26.46,GL,1684625783
143,khorixas,-20.3667,14.9667,57.49,49,0,1.95,NA,1684625800
144,grantsville,40.5999,-112.4644,82.38,16,0,10.36,US,1684625800
145,keflavik,64.0049,-22.5624,41.43,87,75,31.07,IS,1684625800
146,walvis bay,-22.9575,14.5053,54.55,94,0,2.3,NA,1684625800
147,tiksi,71.6872,128.8694,16.25,85,100,5.03,RU,1684625800
148,kingston,17.997,-76.7936,83.35,94,40,4.61,JM,1684625571
149,tubarjal,30.4999,38.216,65.77,53,36,11.32,SA,1684625778
150,barguzin,53.6167,109.6167,47.26,71,58,3.98,RU,1684625800
151,taroa,8.7058,171.2275,82.71,81,100,13.98,MH,1684625800
152,avarua,-21.2078,-159.775,77.05,69,96,6.91,CK,1684625801
153,kuta,-8.7233,115.1723,77.0,83,20,5.99,ID,1684625730
154,arraial do cabo,-22.9661,-42.0278,71.46,83,0,10.36,BR,1684625801
155,ambovombe,-25.1667,46.0833,66.9,88,0,9.31,MG,1684625777
156,victorica,-36.2151,-65.4359,52.0,59,0,16.87,AR,1684625801
157,mahanoro,-19.9,48.8,71.78,88,1,3.09,MG,1684625801
158,alta,69.9689,23.2717,49.26,73,75,5.75,NO,1684625801
159,hasaki,35.7333,140.8333,70.29,75,92,4.38,JP,1684625776
160,kourou,5.1552,-52.6478,77.05,93,100,7.83,GF,1684625801
161,agnibilekrou,7.1344,-3.2047,72.63,99,100,4.29,CI,1684625801
162,port saint john's,-31.6229,29.5448,55.4,80,2,5.37,ZA,1684625657
163,bol,13.4586,14.7147,81.79,71,37,6.71,TD,1684625801
164,saacow,1.6279,42.4407,75.81,91,22,9.24,SO,1684625801
165,xai-xai,-25.0519,33.6442,62.87,91,0,3.11,MZ,1684625801
166,balsas,-7.5325,-46.0356,77.23,66,75,0.94,BR,1684625801
167,olonkinbyen,70.9221,-8.7187,36.18,83,62,20.87,SJ,1684625801
168,ariguani,10.25,-74.0,78.44,90,98,1.97,CO,1684625801
169,yeghegnadzor,39.7639,45.3324,54.84,92,95,3.06,AM,1684625801
170,ocean shores,46.9737,-124.1563,65.37,82,20,17.27,US,1684625801
171,hithadhoo,-0.6,73.0833,82.78,70,8,4.27,MV,1684625801
172,lompoc,34.6391,-120.4579,75.02,79,100,17.0,US,1684625779
173,tura,25.5198,90.2201,70.92,87,0,4.9,IN,1684625802
174,badger,64.8,-147.5333,73.31,28,0,11.5,US,1684625802
175,alofi,-19.0595,-169.9187,84.09,84,9,9.22,NU,1684625777
