City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,jabat,7.75,168.9751,83.08,79,98,13.24,MH,1684625797
84,bozoum,6.3193,16.3799,70.86,87,99,4.23,CF,1684625797
85,jamestown,42.097,-79.2353,54.99,78,100,13.8,US,1684625782
86,harstad,68.799,16.5293,51.15,92,100,32.01,NO,1684625797
87,hermansverk,61.1846,6.8502,48.65,87,79,0.0,NO,1684625797
88,kodiak,57.79,-152.4072,44.11,81,100,23.02,US,1684625779
89,cabo san lucas,22.8909,-109.9124,88.61,35,0,12.66,MX,1684625567
90,sinabang,2.4803,96.3801,80.73,82,100,0.85,ID,1684625798
91,santa ana,33.7456,-117.8678,85.41,70,75,11.5,US,1684625798
92,nabire,-3.3667,135.4833,82.26,74,92,3.02,ID,1684625798
93,dingzhou,38.5131,114.9956,64.51,15,69,13.6,CN,1684625798
94,richards bay,-28.783,32.0377,59.0,84,36,7.09,ZA,1684625798
95,udachny,66.4167,112.4,28.45,100,100,16.08,RU,1684625784
96,crane,31.3974,-102.3501,75.16,47,100,10.65,US,1684625798
97,constantia,44.1833,28.65,56.08,70,46,12.8,RO,1684625798
98,knyaze-volkonskoye,48.4642,135.4567,50.34,94,100,7.94,RU,1684625798
99,labrador city,52.9463,-66.9114,55.31,41,0,10.36,CA,1684625778
100,forbes,-33.3833,148.0167,54.54,59,61,14.7,AU,1684625798
101,college,64.8569,-147.8028,73.38,33,75,11.5,US,1684625775
102,nizhneudinsk,54.9076,99.0276,50.67,48,6,3.02,RU,1684625798
103,west island,-12.1568,96.8225,80.58,83,75,6.91,CC,1684625798
104,edinburgh of the seven seas,-37.0676,-12.3116,63.48,93,84,14.18,SH,1684625776
105,margaret river,-33.95,115.0667,55.36,74,99,14.29,AU,1684625798
106,port alfred,-33.5906,26.891,59.25,39,65,8.43,ZA,1684625798
107,murghob,38.1702,73.9667,26.26,87,8,8.12,TJ,1684625798
108,semera,11.501,41.201,85.44,42,63,1.95,ET,1684625798
109,reggane,26.7158,0.1714,76.48,18,0,3.78,DZ,1684625798
110,san fernando de apure,7.8878,-67.4724,83.23,73,100,1.28,VE,1684625798
111,kingscliff,-28.2667,153.5667,65.73,45,0,5.75,AU,1684625799
112,selfoss,63.9331,-20.9971,40.05,80,98,24.45,IS,1684625799
113,invercargill,-46.4,168.35,47.68,80,100,1.34,NZ,1684625785
114,idri,27.5,13.2667,71.08,25,0,10.83,LY,1684625799
115,natal,-5.795,-35.2094,79.45,94,20,8.05,BR,1684625799
116,dryden,49.7833,-92.7503,68.29,37,0,13.8,CA,1684625511
117,fort bragg,35.139,-79.006,77.83,68,0,6.91,US,1684625787
118,dalandzadgad,43.5708,104.425,42.31,31,32,9.33,MN,1684625799
119,sao jose da coroa grande,-8.8978,-35.1478,76.6,90,80,7.07,BR,1684625799
120,blackmans bay,-43.0167,147.3167,45.73,80,76,13.29,AU,1684625799
121,bilibino,68.0546,166.4372,47.23,70,25,4.97,RU,1684625799
122,st. john's,47.5649,-52.7093,51.28,76,75,33.38,CA,1684625552
123,nguigmi,14.2495,13.1092,90.9,35,5,10.07,NE,1684625799
124,victoria,22.2855,114.1577,86.38,81,54,5.99,HK,1684625532
125,san javier,37.8063,-0.8374,60.98,77,99,5.01,ES,1684625799
126,geraldton,-28.7667,114.6,57.61,54,63,17.27,AU,1684625781
127,talnakh,69.4865,88.3972,21.22,94,54,4.29,RU,1684625785
128,nova sintra,14.8667,-24.7167,67.53,80,81,23.78,CV,1684625799
129,happy valley-goose bay,53.3168,-60.3315,62.91,29,20,10.36,CA,1684625520
130,hereford,52.0568,-2.7148,48.76,93,4,5.39,GB,1684625612
131,tvoroyri,61.5556,-6.8111,47.01,81,2,20.87,FO,1684625799
132,carnarvon,-24.8667,113.6333,66.24,37,1,19.01,AU,1684625784
133,christianshavn,55.6724,12.5886,52.95,71,40,6.91,DK,1684625800
134,whitehorse,60.7161,-135.0538,66.09,30,75,11.5,CA,1684625800
135,mejit,10.2753,170.8646,82.51,80,73,11.63,MH,1684625783
136,hadibu,12.65,54.0333,84.02,71,22,5.7,YE,1684625800
137,sergeyevka,53.88,67.4158,51.67,57,56,7.43,KZ,1684625800
138,ulladulla,-35.35,150.4667,56.77,55,46,16.55,AU,1684625800
139,ratoath,53.5081,-6.4625,56.08,92,75,1.14,IE,1684625800
140,redruth,50.2332,-5.2243,53.33,78,5,4.61,GB,1684625800
